,title,release date,user rating,url
0,Godzilla vs. Kong,"Mar 24, 2021",83.0,https://www.themoviedb.org/movie/399566
1,Zack Snyder's Justice League,"Mar 18, 2021",85.0,https://www.themoviedb.org/movie/791373
2,Chaos Walking,"Feb 24, 2021",75.0,https://www.themoviedb.org/movie/412656
3,Raya and the Last Dragon,"Mar 03, 2021",83.0,https://www.themoviedb.org/movie/527774
4,Mortal Kombat,"Apr 07, 2021",75.0,https://www.themoviedb.org/movie/460465
5,Cherry,"Feb 26, 2021",76.0,https://www.themoviedb.org/movie/544401
6,Tom & Jerry,"Feb 11, 2021",73.0,https://www.themoviedb.org/movie/587807
7,Mortal Kombat Legends: Scorpion's Revenge,"Apr 12, 2020",84.0,https://www.themoviedb.org/movie/664767
8,Twist,"Jan 22, 2021",68.0,https://www.themoviedb.org/movie/644083
9,Monster Hunter,"Dec 03, 2020",71.0,https://www.themoviedb.org/movie/458576
10,Sentinelle,"Mar 05, 2021",61.0,https://www.themoviedb.org/movie/793723
11,Wonder Woman 1984,"Dec 16, 2020",68.0,https://www.themoviedb.org/movie/464052
12,Below Zero,"Jan 29, 2021",64.0,https://www.themoviedb.org/movie/587996
13,Space Sweepers,"Feb 05, 2021",72.0,https://www.themoviedb.org/movie/581389
14,The Unholy,"Mar 31, 2021",61.0,https://www.themoviedb.org/movie/632357
15,Just Say Yes,"Apr 02, 2021",58.0,https://www.themoviedb.org/movie/802504
16,Outside the Wire,"Jan 15, 2021",65.0,https://www.themoviedb.org/movie/775996
17,Ashfall,"Dec 19, 2019",65.0,https://www.themoviedb.org/movie/581387
18,Secret Magic Control Agency,"Mar 18, 2021",72.0,https://www.themoviedb.org/movie/797394
19,Black Water: Abyss,"Jul 09, 2020",49.0,https://www.themoviedb.org/movie/522444
